[2026-02-09 20:26:18] 🥳 Nila Command Center running at http://0.0.0.0:5555
[2026-02-09 20:26:18]    Using OpenClaw CLI for gateway data
[2026-02-09 20:26:18]    Proxying n8n: http://127.0.0.1:5678
[2026-02-10 01:11:20] 🥳 Nila Command Center running at http://0.0.0.0:5555
[2026-02-10 01:11:20]    Using OpenClaw CLI for gateway data
[2026-02-10 01:11:20]    Proxying n8n: http://127.0.0.1:5678
[2026-02-10 01:11:22] [Proxy] "GET /proxy/dashboard/settings HTTP/1.1" 200 -
[2026-02-10 01:11:22] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:11:22] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:11:22] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:11:22] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:11:22] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:11:25] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:11:28] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:11:28] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:11:29] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:11:52] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
[2026-02-10 01:11:52] [Proxy] "GET /proxy/n8n/workflows HTTP/1.1" 200 -
[2026-02-10 01:11:52] [Proxy] "GET /proxy/nila/notes HTTP/1.1" 200 -
[2026-02-10 01:11:52] [Proxy] "GET /proxy/nila/history HTTP/1.1" 200 -
[2026-02-10 01:11:52] [Proxy] "GET /proxy/blog/posts HTTP/1.1" 200 -
[2026-02-10 01:11:57] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:12:02] [Proxy] "GET /proxy/openclaw/health HTTP/1.1" 200 -
[2026-02-10 01:12:02] [Proxy] "GET /proxy/openclaw/sessions HTTP/1.1" 200 -
[2026-02-10 01:12:03] [Proxy] "GET /proxy/openclaw/cron HTTP/1.1" 200 -
[2026-02-10 01:12:22] [Proxy] "GET /proxy/n8n/workflows?limit=1 HTTP/1.1" 200 -
